Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF 50V,C_0402_1005Metric,89.5858,-74.0182,-90.0,top
C2,100nF 50V,C_0402_1005Metric,97.6402,-76.2254,0.0,top
C3,100nF 50V,C_0402_1005Metric,89.5858,-75.8926,-90.0,top
C4,30pF,C_0402_1005Metric,84.6074,-80.899,-90.0,top
C5,30pF,C_0402_1005Metric,85.0392,-85.151,-90.0,top
C6,100nF 50V,C_0402_1005Metric,95.6056,-84.0638,-90.0,top
C7,100nF 50V,C_0402_1005Metric,94.8436,-96.1644,90.0,top
C8,100nF 50V,C_0402_1005Metric,102.616,-96.7232,0.0,top
C9,100nF 50V,C_0402_1005Metric,88.0898,-69.469,0.0,top
C10,100nF 50V,C_0402_1005Metric,97.663,-71.0946,180.0,top
D1,KT-0603R,LED_0603_1608Metric,78.8671,-62.611,0.0,top
D2,SS34,D_SOD-123,90.1446,-79.629,180.0,top
IC2,TJA1050T_CM,SOIC127P600X175-8N,90.7796,-84.4448,180.0,top
IC3,LSM6DS3TR-C,LSM6DS3USTR,99.0266,-97.4574,0.0,top
IC4,TMC2209-LA,QFN50P500X500X90-29N,93.4706,-73.8486,0.0,top
J1,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,80.4738,-89.378,-90.0,top
J2,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,80.4738,-81.25,-90.0,top
J5,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,81.3502,-97.3882,0.0,top
J6,SM04B-SRSS-TB,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,89.7696,-97.3882,0.0,top
Q1,BSS138,SOT-23,90.5162,-90.617,180.0,top
Q2,BSS138,SOT-23,86.63,-90.6322,0.0,top
R1,22k,R_0402_1005Metric,103.759,-91.186,90.0,top
R2,1k,R_0402_1005Metric,90.5998,-81.3562,0.0,top
R3,10k,R_0402_1005Metric,94.2594,-99.1616,90.0,top
R7,10k,R_0402_1005Metric,89.8144,-88.138,180.0,top
R8,10k,R_0402_1005Metric,86.5866,-88.1634,180.0,top
R9,10k,R_0402_1005Metric,85.092,-93.2434,180.0,top
R10,10k,R_0402_1005Metric,94.9706,-90.0644,90.0,top
R11,4.7k,R_0402_1005Metric,103.759,-93.6518,90.0,top
R12,2.2k,R_0402_1005Metric,94.9706,-92.6064,90.0,top
R13,10k,R_0402_1005Metric,103.759,-88.771,-90.0,top
R14,10k,R_0402_1005Metric,89.0798,-93.3196,0.0,top
R15,10k,R_0402_1005Metric,102.5906,-95.5294,180.0,top
R16,1.5k,R_0402_1005Metric,78.357,-64.135,180.0,top
R17,120,R_0402_1005Metric,78.105,-72.7456,90.0,top
SW1,DSHP04TJGER,SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin,99.5426,-91.44,0.0,top
